Date,Month,Store,Money Spent
11/10/2023,11,Aldi,0.9
10/18/2023,10,Walmart,4.35
3/11/2024,3,Aldi,4.45
9/4/2024,9,Coop,4.66
7/16/2023,7,Walmart,5.42
6/12/2023,6,Coop,5.83
11/30/2023,11,Coop,6.35
7/16/2022,7,Publix,6.43
12/17/2022,12,H Mart,6.99
6/4/2023,6,Aldi,7.74
6/23/2024,6,Aldi,8.6
3/4/2024,3,Coop,8.8
2/27/2024,2,Aldi,9.11
1/19/2023,1,H Mart,9.11
8/7/2025,8,Aldi,9.28
5/29/2023,5,Coop,10.15
6/18/2024,6,Walmart,10.21
3/13/2023,3,Aldi,10.25
6/27/2023,6,Aldi,10.34
7/14/2025,7,Walmart,10.58
1/7/2024,1,Coop,10.82
9/18/2024,9,Coop,10.92
8/21/2024,8,Coop,11.68
10/6/2024,10,Coop,12.2
7/2/2025,7,Coop,12.55
9/14/2024,9,Aldi,13.02
7/30/2023,7,Aldi,13.76
5/23/2023,5,The Fresh Market,14.19
8/25/2024,8,Coop,14.5
5/5/2023,5,Aldi,15.4
9/13/2023,9,Coop,15.82
7/3/2024,7,Coop,15.87
11/20/2023,11,Walmart,16.47
6/12/2023,6,Aldi,16.51
8/5/2023,8,Publix,16.65
2/10/2023,2,Publix,17.03
6/8/2025,6,Coop,17.19
2/29/2024,2,Coop,17.33
5/16/2023,5,Aldi,17.59
3/11/2023,3,Coop,17.72
10/22/2023,10,Aldi,17.73
7/19/2025,7,E-mart,18.15
6/6/2023,6,H Mart,18.49
6/27/2023,6,H Mart,18.85
12/26/2022,12,Fairway Market,19.16
6/4/2023,6,Walmart,19.28
10/13/2023,10,Coop,19.45
9/1/2024,9,Coop,19.54
9/11/2023,9,Aldi,19.79
8/10/2024,8,Walmart,19.88
5/27/2023,5,Aldi,20.13
9/24/2023,9,Aldi,20.31
1/17/2023,1,H Mart,20.74
11/27/2024,11,Coop,20.96
10/13/2024,10,H Mart,20.96
1/13/2024,1,Aldi,21.26
2/26/2025,2,H Mart,21.41
7/15/2024,7,H Mart,21.85
3/11/2024,3,Coop,21.95
12/24/2022,12,Fairway Market,21.97
10/4/2023,10,Aldi,22.01
8/17/2024,8,Coop,22.05
8/8/2023,8,Aldi,22.33
8/8/2023,8,Aldi,22.33
1/24/2025,1,Coop,22.55
2/5/2024,2,H Mart,22.57
2/13/2025,2,H Mart,22.78
3/15/2025,3,H Mart,22.81
3/11/2024,3,Coop,23
8/17/2024,8,Aldi,23.05
7/8/2023,7,Coop,23.07
12/20/2024,12,H Mart,23.11
4/3/2023,4,Aldi,23.25
7/4/2025,7,Coop,23.33
11/12/2023,11,H Mart,23.33
7/25/2023,7,H Mart,23.4
10/13/2024,10,Aldi,23.58
2/10/2024,2,H Mart,23.92
7/29/2022,7,Publix,24.28
12/19/2023,12,Walmart,24.52
3/17/2023,3,Aldi,24.62
12/21/2023,12,H Mart,24.82
8/3/2025,8,Coop,25.15
8/21/2024,8,Coop,25.32
8/21/2023,8,Aldi,26.03
9/24/2025,9,Coop,26.17
3/24/2023,3,Aldi,26.42
2/6/2024,2,Aldi,26.92
12/17/2023,12,Aldi,27.32
12/28/2023,12,Aldi,28.05
5/14/2023,5,Publix,28.61
8/16/2024,8,H Mart,28.72
7/23/2022,7,Publix,28.91
7/15/2023,7,Aldi,29.06
11/9/2024,11,Coop,29.37
6/8/2024,6,Aldi,29.46
1/18/2024,1,Coop,29.56
2/27/2024,2,Coop,29.91
3/4/2024,3,Aldi,30.24
12/18/2023,12,H Mart,30.73
9/29/2023,9,H Mart,30.81
11/21/2024,11,Coop,31.31
6/12/2023,6,H Mart,31.63
11/3/2023,11,Aldi,32.23
1/10/2023,1,Publix,32.57
2/16/2025,2,E-mart,32.88
11/14/2024,11,H Mart,32.96
3/18/2024,3,Aldi,32.99
9/6/2022,9,Publix,33.37
6/19/2023,6,Aldi,33.52
12/31/2022,12,H Mart,34.09
1/6/2024,1,Aldi,34.6
3/19/2025,3,Walmart,34.63
4/27/2023,4,Coop,34.7
3/18/2023,3,Coop,35.25
1/1/2024,1,Coop,35.25
8/28/2023,8,H Mart,35.33
1/8/2024,1,H Mart,35.76
9/21/2025,9,Publix,35.9
7/12/2025,7,E-mart,36.13
9/28/2024,9,Walmart,36.29
8/6/2024,8,Coop,36.38
9/8/2024,9,H Mart,36.59
6/27/2023,6,H Mart,36.77
10/9/2023,10,Aldi,37
9/13/2022,9,Publix,37.24
3/26/2023,3,Publix,38.52
2/27/2023,2,Publix,38.56
6/17/2023,6,H Mart,39.75
11/20/2022,11,Publix,39.82
6/22/2025,6,Coop,40.44
11/8/2023,11,Coop,40.9
3/18/2024,3,H Mart,41.25
7/7/2025,7,Coop,41.35
8/17/2024,8,Coop,41.46
7/12/2025,7,E-mart,41.46
6/30/2025,6,H Mart,41.46
6/27/2024,6,Publix,41.53
12/20/2023,12,Coop,42.18
12/29/2023,12,H Mart,42.47
10/16/2024,10,Walmart,42.57
8/3/2025,8,H Mart,43.78
10/20/2024,10,Walmart,43.87
7/1/2023,7,Walmart,44.34
7/28/2025,7,H Mart,45.23
8/28/2025,8,Walmart,45.33
1/14/2024,1,Coop,46.1
11/1/2022,11,H Mart,46.12
10/4/2022,10,H Mart,46.17
2/26/2025,2,Coop,46.26
8/28/2023,8,Coop,46.78
9/12/2023,9,H Mart,47.45
9/12/2025,9,Coop,48.62
3/16/2025,3,Walmart,49.93
8/15/2023,8,H Mart,50.02
7/26/2024,7,Walmart,50.28
5/16/2023,5,Walmart,50.61
9/8/2024,9,Coop,50.93
10/30/2022,10,Publix,51.13
3/15/2025,3,Coop,51.87
10/25/2022,10,H Mart,52.02
10/19/2023,10,H Mart,52.63
7/14/2024,7,Coop,52.84
9/28/2023,9,H Mart,53.22
6/11/2025,6,H Mart,53.59
2/21/2023,2,H Mart,54.78
7/22/2025,7,Coop,54.91
9/20/2022,9,Publix,55
2/9/2025,2,Coop,55.52
2/12/2023,2,Publix,55.57
6/28/2025,6,Coop,55.89
2/26/2024,2,H Mart,55.97
12/28/2023,12,Walmart,56.28
9/5/2023,9,Coop,56.41
8/27/2022,8,Publix,56.66
3/11/2024,3,Coop,56.68
7/23/2023,7,Walmart,57.5
6/18/2023,6,Walmart,57.92
11/19/2023,11,Coop,58.12
5/30/2023,5,H Mart,58.14
1/17/2025,1,Walmart,58.74
4/5/2023,4,Coop,58.97
11/29/2024,11,Walmart,59.6
7/11/2023,7,H Mart,60.08
8/8/2023,8,H Mart,60.38
7/25/2022,7,Publix,61.59
5/27/2023,5,Walmart,62.06
7/22/2023,7,Coop,62.11
10/4/2022,10,Publix,62.38
11/15/2024,11,Coop,63.25
3/12/2023,3,H Mart,64.33
